,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
212,51.4,0.5,6.03,4.78,0.09,18.7,17.7,0.1,0.0,0.55,212
213,52.6,0.92,3.63,7.25,0.08,17.7,18.2,0.35,0.0,0.23,213
214,51.9,1.02,3.35,7.98,0.16,16.8,18.0,0.34,0.0,0.2,214
215,51.5,0.81,6.89,6.14,0.17,18.3,16.1,0.56,0.0,0.21,215
216,51.1,0.68,7.26,6.2,0.16,19.4,15.3,0.49,0.0,0.24,216
217,52.09,0.68,3.04,6.31,0.18,15.33,21.84,0.23,0.0,0.4,217
218,51.93,0.63,3.56,5.68,0.11,16.0,21.96,0.2,0.01,0.54,218
219,51.17,0.79,3.9,7.01,0.17,14.98,21.55,0.3,0.0,0.34,219
220,51.27,0.49,4.05,5.11,0.16,16.3,21.81,0.26,0.0,0.71,220
221,50.81,0.45,5.14,5.03,0.0,16.17,21.61,0.27,0.0,0.87,221
222,50.56,0.75,5.08,6.96,0.18,14.86,20.85,0.37,0.0,0.36,222
223,50.94,0.47,5.47,5.89,0.16,16.03,21.05,0.28,0.0,0.56,223
224,50.81,0.48,7.01,5.99,0.19,16.16,19.46,0.41,0.0,0.0,224
225,52.05,0.97,2.28,8.31,0.25,15.29,20.94,0.28,0.0,0.0,225
226,52.57,0.77,2.06,7.35,0.21,16.28,20.97,0.22,0.0,0.0,226
227,51.88,1.13,2.5,8.41,0.21,14.9,20.86,0.32,0.0,0.0,227
228,52.51,0.76,2.42,7.36,0.2,16.17,20.54,0.26,0.0,0.0,228
229,52.67,0.6,3.16,6.37,0.17,16.78,20.75,0.26,0.0,0.0,229
230,51.0,1.0,3.75,9.28,0.2,15.3,19.22,0.36,0.0,0.0,230
231,52.72,0.66,3.77,7.21,0.24,16.62,19.92,0.35,0.0,0.0,231
232,49.8,1.28,6.18,10.68,0.32,14.08,17.44,0.69,0.06,0.0,232
233,51.31,0.74,5.53,8.14,0.2,16.2,18.22,0.52,0.0,0.0,233
234,52.07,0.54,5.23,5.84,0.18,16.81,19.92,0.4,0.0,0.0,234
235,52.34,0.79,1.81,9.64,0.5,16.11,18.44,0.21,0.0,0.0,235
236,53.12,0.65,2.26,7.96,0.36,17.12,19.28,0.28,0.0,0.0,236
237,52.2,0.83,2.05,10.17,0.49,15.92,18.38,0.25,0.0,0.0,237
238,52.14,0.76,2.72,8.25,0.41,16.46,19.12,0.23,0.0,0.0,238
239,51.17,1.21,2.7,14.41,0.64,14.29,15.5,0.33,0.0,0.0,239
240,51.49,0.82,3.12,10.79,0.53,16.26,16.68,0.29,0.0,0.0,240
241,52.07,0.85,3.85,8.22,0.35,16.71,18.82,0.33,0.0,0.0,241
242,50.25,1.06,3.89,14.76,0.57,13.95,14.93,0.47,0.0,0.0,242
243,50.82,0.89,4.1,12.2,0.53,14.86,16.23,0.48,0.0,0.0,243
244,51.76,0.67,4.18,8.41,0.29,15.49,19.23,0.49,0.0,0.0,244
245,49.63,0.95,4.79,8.92,0.21,13.93,21.23,0.44,0.0,0.0,245
246,49.65,0.85,4.94,8.26,0.18,14.18,21.68,0.4,0.0,0.42,246
247,49.92,0.69,4.78,6.97,0.18,15.0,21.63,0.32,0.0,0.5,247
248,49.38,0.64,5.02,7.4,0.0,15.14,21.39,0.3,0.0,0.64,248
249,49.04,0.87,5.72,8.55,0.19,14.27,20.88,0.41,0.0,0.35,249
250,50.49,0.54,5.01,5.25,0.0,15.15,21.95,0.3,0.0,0.66,250
251,49.0,0.96,5.9,9.65,0.23,13.9,19.85,0.48,0.0,0.0,251
252,48.66,0.93,6.44,9.44,0.23,14.15,19.25,0.59,0.0,0.06,252
253,49.11,0.6,6.65,6.88,0.15,14.61,20.52,0.44,0.0,0.42,253
254,49.16,0.56,6.68,6.75,0.15,14.68,20.7,0.38,0.0,0.4,254
255,50.32,0.96,3.46,9.18,0.23,15.1,20.29,0.41,0.0,0.0,255
256,50.32,0.9,4.07,8.27,0.21,15.31,20.91,0.37,0.0,0.0,256
257,52.36,0.62,2.99,6.71,0.2,16.55,21.13,0.31,0.0,0.0,257
258,50.27,0.83,4.31,7.29,0.2,15.51,20.95,0.35,0.0,0.0,258
259,51.11,0.9,3.55,9.58,0.27,15.44,19.11,0.41,0.0,0.0,259
260,50.53,0.86,4.13,8.4,0.22,15.59,20.17,0.37,0.0,0.0,260
261,49.41,1.06,4.72,10.95,0.31,14.7,18.02,0.56,0.0,0.0,261
262,49.83,1.04,5.12,10.81,0.29,15.0,17.83,0.52,0.0,0.0,262
263,49.09,1.01,5.96,10.06,0.23,14.36,18.83,0.52,0.01,0.0,263
264,51.18,0.73,5.76,6.9,0.19,15.51,19.71,0.53,0.06,0.0,264
265,51.11,0.51,4.5,6.38,0.2,16.58,19.88,0.36,0.0,0.0,265
266,51.19,0.73,2.71,10.43,0.52,16.03,17.65,0.42,0.0,0.0,266
267,51.12,0.78,3.4,8.51,0.38,15.87,19.86,0.35,0.0,0.0,267
268,52.57,0.67,2.76,7.42,0.3,16.39,20.44,0.27,0.0,0.0,268
269,50.91,0.82,2.89,11.21,0.49,15.41,17.8,0.37,0.0,0.0,269
270,51.43,0.76,3.1,11.46,0.5,15.83,17.24,0.36,0.0,0.0,270
271,51.21,0.75,3.11,9.46,0.42,15.98,18.89,0.34,0.0,0.0,271
272,49.52,1.04,3.79,12.81,0.55,14.42,16.88,0.51,0.0,0.0,272
273,50.23,0.78,4.12,9.99,0.44,15.18,18.55,0.48,0.01,0.0,273
274,51.2,0.65,3.43,7.55,0.36,15.54,20.17,0.36,0.0,0.0,274
275,51.297,0.965,3.476,1.265,0.185,17.568,18.116,0.344,0.0,0.519,275
276,51.386,0.949,3.22,1.407,0.213,17.308,18.373,0.384,0.0,0.539,276
277,51.22,0.95,3.23,0.97,0.175,17.602,18.458,0.32,0.0,0.733,277
278,50.873,1.091,3.331,0.789,0.187,16.358,19.704,0.306,0.0,0.662,278
279,50.215,1.619,3.739,0.677,0.198,15.77,18.781,0.307,0.0,0.332,279
280,50.382,1.531,3.814,6.307,0.212,16.074,19.477,0.28,0.0,0.306,280
281,50.846,1.183,3.367,5.607,0.207,15.909,20.261,0.361,0.0,0.279,281
282,49.689,1.462,3.99,7.161,0.146,14.814,19.83,0.327,0.0,0.27,282
283,50.044,1.424,4.094,6.047,0.208,15.276,20.219,0.349,0.0,0.28,283
284,50.537,1.338,3.742,6.7,0.192,15.597,19.919,0.291,0.0,0.321,284
285,51.6,0.55,4.79,9.37,0.26,18.8,14.3,0.31,0.0,0.39,285
286,53.1,0.52,3.64,7.11,0.13,20.5,14.9,0.3,0.0,0.17,286
287,52.8,0.65,4.45,6.43,0.17,20.1,15.0,0.37,0.0,0.13,287
288,53.2,0.38,4.71,6.81,0.15,20.5,14.3,0.31,0.0,0.09,288
289,52.9,0.18,6.07,4.64,0.11,23.1,12.9,0.31,0.0,0.63,289
290,53.1,0.16,5.93,4.56,0.11,23.6,12.2,0.34,0.0,0.83,290
291,51.5,0.47,7.34,5.44,0.14,19.1,15.4,0.61,0.0,0.25,291
292,50.8,0.98,6.97,7.58,0.19,18.3,14.2,0.59,0.0,0.15,292
293,51.3,0.58,7.01,5.8,0.16,19.9,14.3,0.5,0.0,0.18,293
294,50.3,0.2,10.0,6.16,0.1,20.0,13.4,0.36,0.0,0.04,294
295,50.2,0.25,10.2,6.49,0.11,19.0,13.7,0.41,0.0,0.0,295
296,50.4,0.15,7.54,5.32,0.11,20.2,14.3,0.42,0.0,0.44,296
297,50.3,0.31,10.3,5.01,0.11,18.8,14.6,0.72,0.0,0.04,297
298,50.5,0.24,10.2,5.22,0.11,19.2,13.5,0.76,0.0,0.05,298
299,50.4,0.28,9.84,5.61,0.2,19.0,14.0,0.72,0.0,0.1,299
300,49.8,0.27,10.1,5.21,0.12,18.7,14.8,0.68,0.0,0.19,300
301,52.09,0.53,5.3,6.04,0.08,15.76,19.69,0.73,0.0,0.0,301
302,52.59,0.41,4.78,5.6,0.08,16.27,19.91,0.58,0.0,0.0,302
303,53.53,0.25,3.25,4.33,0.08,17.53,20.74,0.35,0.0,0.0,303
304,54.66,0.15,1.67,3.09,0.07,19.11,20.52,0.22,0.0,0.0,304
