Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/K001/167,42.27,0.01,23.02,2.43,7.72,0.18,19.86,5.33,0,59.9484443379,12.53,12.19,2.3,,5.39,0.18
FrankSmith,42.2,0,22.4,2.45,8.11,0.42,20.3,4.85,0,0,12.55,8.0945,4.0246,,7.0367,2.322
FrankSmith,41.8,0,20.1,5.5,6.46,0.33,20.5,5.04,0,0,12.56,7.4318,4.7142,,8.6093,1.2395
173/034/0021/2,42.68,0.02,23.04,1.69,6.78,0.34,20.4,4.52,0.02,119.896888676,12.56,6.85,2.46,,12.29,2.23
173/033/X086/1,42.07,0.09,21.77,2.75,8.05,0.43,20.28,4.68,0,539.535999041,12.56,9.29,1.22,,0.72,0.81
173/034/K001/167,42.72,0.06,21.88,2.35,8.02,0.34,20.19,4.62,0,359.690666027,12.56,11.98,3.71,,11.22,0.99
COY557,41.9,0.08,21.37,3.79,6.9,0.44,21.27,4.38,-0.99,800,12.6,,0.91,,4.5,51.6
COY553,42.33,0.12,21.91,2.13,8.43,0.46,20.13,4.5,-0.99,1200,12.6,,2.5,,14.2,27.8
COY553,42.54,0.09,22.18,2.58,7.12,0.45,21.38,4.72,-0.99,900,12.6,,1.44,,3.5,19.9
COY553,42.56,0.09,22.4,2.53,7.18,0.3,20.87,4.72,-0.99,900,12.6,,1.44,,2.6,12.2
173/033/X086/1,41.78,0.08,22.77,2.21,8.07,0.49,19.94,5.28,0,479.587554703,12.66,9.5,1.42,,3.94,1.12
COY554,42.78,0.12,21.15,3.46,7.81,0.57,20.67,4.67,-0.99,1200,12.7,,1.29,,19.8,37.3
COY553,41.88,0.05,20.78,4.22,6.68,0.42,21.03,4.84,-0.99,500,12.7,,0.98,,6.2,35.6
COY553,42.02,0.06,21.3,2.85,7.03,0.42,20.66,4.72,-0.99,600,12.7,,1.42,,4.1,23.9
173/034/K001/167,42.92,0.06,21.5,3.29,8.34,0.27,19.56,4.96,0,359.690666027,12.7,12.27,4.17,,2.57,1.87
173/034/0021/2,41.94,0.07,20.5,4.34,9.67,0.49,17.75,5.9,0.1,419.639110365,12.74,3.61,3.59,,10.87,4.59
173/034/K001/167,42.39,0.16,21.79,2.51,8.19,0.26,19.42,5.12,0,959.175109406,12.75,12.46,4.45,,18.09,4.44
173/034/0021/2,41.73,0,20.94,3.22,7.42,0.38,21.44,4.05,0.06,0,12.8,-0.42,0.43,,1.19,66.2
COY553,43.42,0.07,22.35,2.66,7.14,0.47,19.93,4.78,-0.99,700,12.8,,1.56,,4.2,25.6
COY553,42.9,0.1,21.57,3.84,6.71,0.45,20.11,5.14,-0.99,1000,12.8,,0.94,,4.6,59.3
COY553,42.54,0.07,21.91,2.62,7.18,0.48,21.56,4.68,-0.99,700,12.8,,1.34,,2.32,10.4
COY553,42.65,0.09,21.9,2.62,7.06,0.41,21.32,4.75,-0.99,900,12.8,,1.44,,3.8,23.9
173/034/K001/167,42.89,0.17,21.62,2.47,7.97,0.22,19.55,5.2,0,1019.12355374,12.81,12.39,2.87,,23.71,23.84
173/033/K061/73,42.51,0.12,22.6,2.07,8.49,0.44,19.56,4.7,0,719.381332054,12.86,26.32,1.98,,14.86,3.7
173/033/X086/1,42.08,0.09,22.15,2.77,8.13,0.46,19.88,4.83,0,539.535999041,12.88,9.09,1.23,,0.79,0.53
173/033/K069/10,42.24,0.05,21.54,3.12,7.27,0.46,20.74,4.7,0,299.742221689,12.89,4.47,1.08,,0.76,7.08
COY555,42.61,0.1,21.7,4.11,7.02,0.49,20.5,4.69,-0.99,1000,12.9,,1.21,,7.6,45.7
COY556,42.88,0.1,21.36,3.69,6.79,0.6,21.37,4.4,-0.99,1000,12.9,,0.75,,44.6,48.9
COY553,42.7,0.07,22.2,2.52,7.09,0.35,21.02,4.6,-0.99,700,12.9,,1.43,,1.99,8.4
COY553,42.38,0.1,21.63,2.62,7.18,0.36,21.32,4.69,-0.99,1000,12.9,,1.4,,3.9,23.3
173/033/K061/73,42.36,0.09,22.45,2.15,8.61,0.41,19.91,4.74,0,539.535999041,12.94,5.85,3.32,,15.17,3.68
173/033/K061/73,42.52,0.2,21.03,3.28,7.78,0.38,20.56,4.86,0,1198.96888676,12.96,41.71,3.92,,22.73,23.45
173/034/K001/167,42.98,0,21.33,2.52,8.32,0.29,19.71,4.83,0,0,13,12.27,3.4,,9.6,1.79
173/034/K001/167,42.84,0.12,21.94,1.96,9.36,0.28,19,4.5,0,719.381332054,13.02,13.42,6.32,,15.93,6.99
173/033/K069/10,42.34,0.06,21.4,3.43,7.82,0.42,19.94,5.15,0,359.690666027,13.05,3.84,2.42,,1.78,3.69
