,Sample I.D.,XAn,XAb,"T
(°C)","P
(bars)","Viscosity
(log10 Pa s)",SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,H2O_Liq,Total,Source,T_K,P_kbar
73,PEM 12-18,0.762,0.223,975,1800,2.590432401606128,60.9,0.67,16.5,3.68,1.9,4.66,5.2,1.78,5.011729549142764,95.38827045085725,Moore & Carmichael (1998),1248.15,1.8
74,PEM 12-19,0.65,0.342,975,1008,3.1354157628818644,61.8,0.61,16.5,3.77,1.7,4.91,3.5,1.87,3.4498987529376333,94.85010124706237,Moore & Carmichael (1998),1248.15,1.008
75,PEM 12-22,0.576,0.412,960,710,3.5799051825668733,64.0,0.74,15.0,3.49,1.6,3.87,4.0,2.07,2.9149393095084957,94.1850606904915,Moore & Carmichael (1998),1233.15,0.71
76,PEM 12-10,0.618,0.376,950,1455,3.2760972448113423,63.1,0.63,15.5,2.65,1.1,3.35,3.9,2.27,4.416721752875606,92.5832782471244,Moore & Carmichael (1998),1223.15,1.455
77,PEM 22-9,0.69,0.304,1125,517,1.8078112427945285,54.3,0.5,18.9,5.37,3.8,7.28,5.0,1.27,2.0984869365258603,96.60151306347414,Moore & Carmichael (1998),1398.15,0.517
78,Z-342-17,0.56,0.43,925,1324,3.5218175925734263,64.28,0.63,15.49,3.0591,2.12,3.38,4.34,2.27,4.275329897418043,95.82467010258195,Z-342-17,1198.15,1.324
79,Z-342-12,0.6,0.39,950,1069,3.446991127054043,62.87,0.9,17.01,3.48506,1.93,4.49,4.36,2.06,3.666947422925112,97.33305257707488,Z-342-12,1223.15,1.069
80,Z-348-06,0.65,0.34,1000,1172,2.9356560567562333,62.35,0.73,16.06,3.6399100000000004,1.65,4.22,4.24,2.23,3.793007464596639,95.30699253540335,Z-348-06,1273.15,1.172
81,#WD62,0.63,0.36,975,1500,2.7187591074241273,61.57,1.18,18.31,3.58,1.9,4.77,6.25,1.74,4.490869041235027,96.9,Rader & Larsen (2013),1248.15,1.5
82,Sissonb-10,0.83,0.16,1050,1000,1.7381206873934756,53.2,1.18,17.2,8.12,5.03,8.51,3.53,0.87,3.244538626394532,97.85546137360546,Sissonb-10,1323.15,1.0
83,#149,0.855,0.144,1100,1000,1.4626072275077062,55.93,0.71,17.35,7.74,5.82,9.7,2.3,0.28,3.079812345786051,,Takagi et al. (2005) #149,1373.15,1.0
84,#12,0.86,0.143,1050,1000,1.5911870052980794,50.30737,1.077328,17.41039,8.84948,5.107689,9.04186,3.55903,0.46171199999999996,3.2185985415540452,95.98140145844596,Wagner et al. (1995),1323.15,1.0
85,#14,0.818,0.177,1045,1000,1.721038238531111,51.0711,1.135974,17.087339999999998,8.1141,4.639356,8.782319999999999,3.62748,0.515484,3.2404568753246465,95.15954312467537,Wagner et al. (1995),1318.15,1.0
86,#13,0.791,0.206,1035,1000,1.7832693751567226,51.188829999999996,1.1612369999999999,16.71472,8.15882,4.397111,8.5473,3.8937699999999995,0.56982,3.286226469300678,94.81377353069932,Wagner et al. (1995),1308.15,1.0
87,MLV36_750C_200MPa_120h,0.2993488226797153,0.654410986969922,750,2000,4.975216765255626,74.40532036415917,0.17717895609413084,13.88826395911611,1.3230043094273642,0.21481796275596043,1.2536916293876423,4.094418639138466,4.599635658266417,6.078844584432652,93.5,Waters et al. (in review),1023.15,2.0
88,MLV36_750C_200MPa_48h,0.3026535352795536,0.6709994699939195,750,2000,4.99473734322699,74.54806320442758,0.1828820673415711,13.945636811217087,1.3051791848463412,0.15137880268874213,1.1812788239494345,4.117006013165583,4.510128246099867,6.071470142465204,93.5,Waters et al. (in review),1023.15,2.0
89,MLV36_800C_100MPa_48h,0.28943425101965575,0.6221572949878403,800,1000,5.112271594311755,75.37999587194437,0.1659722943041184,13.541185706428431,1.0594398252376913,0.1704314295361187,0.8601955218948014,3.9768476926435903,4.78183345323784,4.089755961059994,95.8,Waters et al. (in review),1073.15,1.0
90,MLV36_800C_150MPa_48h,0.3989201675768175,0.5501794079732568,800,1500,4.673434717121702,73.93205798347189,0.2537719264138584,14.044376547674842,1.504362947874059,0.3006381102509908,1.218268491885383,4.16052395146931,4.518683698374109,5.077334350318551,96.3,Waters et al. (in review),1073.15,1.5
91,MLV36_850C_100MPa_48h,0.49555226117718076,0.45324160097580857,850,1000,4.513552173091939,74.11644793327292,0.25236817155571184,13.702510527917475,1.538200724356632,0.21265957437119712,1.188213416275555,4.3542974863495205,4.595242280340355,3.9627477264752633,96.1,Waters et al. (in review),1123.15,1.0
92,MLV36_900C_50MPa_48h,0.3371163493685831,0.5440017315031791,900,500,4.823773217337273,73.7810074423716,0.25002116342822084,13.821721139147197,1.6848319038378428,0.2436651656662011,1.2482101686857647,4.261296926475509,4.588556472064415,2.586393298341146,97.8,Waters et al. (in review),1173.15,0.5
93,MLV44_750C_200MPa_48h,0.2733924852681771,0.6606999296450001,750,2000,5.090898845553468,75.91059905075934,0.13838882489106116,13.501621062384665,0.8012715876073259,0.0798094367517501,0.880906131510095,3.8296675792186883,4.819026709635896,6.090743899132131,93.6,Waters et al. (in review),1023.15,2.0
94,MLV44_750C_200MPa_96h,0.27481934986669004,0.6589346315460102,750,2000,5.0892406772711825,76.89025578826535,0.11695653115592035,13.826861016655473,1.1435749713023324,0.11912239284399298,0.9183253557427822,3.5411838599987004,4.884018106603711,6.047601693855534,92.3,Waters et al. (in review),1023.15,2.0
95,MLV44_800C_100MPa_48h,0.24468278495638585,0.6497792358373812,800,1000,5.0474204257709365,75.712967303641,0.16806735923472788,13.088517925697584,1.1402095972945434,0.14796122192818384,0.8523191090723826,4.049588664128289,4.804211894538848,4.108438939258712,95.2,Waters et al. (in review),1073.15,1.0
96, TEQ34_750C_200MPa_120h,0.1703027727542758,0.7137758599953825,750,2000,4.8657848763874005,70.11999803535717,0.7334310671961236,15.464008063577552,2.75557173775862,0.07068443244778483,0.6119755658224753,4.886248247570623,5.2305145335521495,6.102642184452944,93.6,Waters et al. (in review),1023.15,2.0
97,TEQ34_750C_250MPa_120h,0.22285358721416873,0.7292918986605729,750,2500,4.716663621189907,71.88209266342874,0.35942397880812077,15.230794181328898,1.412412939388114,0.2286109153923425,0.6511283532310258,5.618142576559225,4.635140163082276,6.9351581418247195,93.5,Waters et al. (in review),1023.15,2.5
98,TEQ34_750C_300MPa_120h,0.3463554026274926,0.6279989344491834,750,3000,4.813695757239043,71.81775279934789,0.24454073533828136,16.154704191514007,1.4479385645029816,0.19091338109743014,1.242009524218113,4.15075721824188,4.581921146338324,7.329647648419455,93.24,Waters et al. (in review),1023.15,3.0
99,TEQ34_800C_150MPa_48h,0.20590967228869822,0.6725023719571394,800,1500,4.450793696893743,70.10174655567818,0.2867265119497749,15.745370580918395,1.8503979623561413,0.28908021720045246,1.1546852431191357,5.3578044211893046,5.021237868112187,5.114551284270386,94.8,Waters et al. (in review),1073.15,1.5
100,TEQ34_800C_200MPa_48h,0.27328964110415654,0.6785243256750835,800,2000,4.2296145611864615,68.85664969269402,0.38807125842201196,16.629402792191613,2.4367419292972197,0.20089153685251998,1.1869592570884706,5.5504711308035475,4.611113202237624,5.932709795458834,93.0,Waters et al. (in review),1073.15,2.0
101,TEQ34_800C_250MPa_48h,0.29509271460471115,0.6833564636264471,800,2500,4.126185139011915,69.54915722828537,0.30607085850447163,16.31968045701368,1.9411930928614523,0.24407157640697438,1.4169562461336367,5.457525374798567,4.589596523518945,6.725623825406837,93.5,Waters et al. (in review),1073.15,2.5
102,MLV44_750_200_48,0.273,0.661,750,2000,4.82,75.91059905075934,0.13838882489106116,13.501621062384665,0.8012715876073259,0.0798094367517501,0.880906131510095,3.8296675792186883,4.819026709635896,6.090743899132131,93.6,Waters et al. (in review),1023.15,2.0
