,Reference,Expename,T_K,T(C),DwellatstartT(h),fO2(bar),Fe2+(mol.Frac),Fe3+(mol.Frac),Fe3Fet_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,MnO_Liq,FeOt_Liq,NiO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,TOTAL_Liq,Unnamed: 22,Unnamed: 23,SiO2_Ol,TiO2_Ol,Al2O3_Ol,Cr2O3_Ol,MnO_Ol,FeOt_Ol,NiO_Ol,MgO_Ol,CaO_Ol,Na2O_Ol,K2O_Ol,P2O5_Ol,TOTAL_Ol
41,Helz&Thornber1987,5,1343.15,1070,,6.29729773289336e-10,0.0679504061365457,0.0161860434042104,0.19237849341823965,59.62,2.77,13.32,0.0,0.16,10.36,0.0,2.32,5.69,1.75,2.31,1.04,99.34,,,33.16,0.16,0.03,0.04,0.41,38.01,0.0,27.1,0.43,0.07,0.0,0.0,99.41
42,Helz&Thornber1987,4,1333.15,1060,,4.57013195725604e-10,0.0642140943513938,0.01635162523692,0.2029600842700328,58.92,2.36,12.98,0.0,0.17,9.9,0.0,2.32,5.53,2.46,2.48,1.22,98.34,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Matzenetal2011,26,1773.15,1500,,3.09029543251359e-06,0.0810314187633111,0.0106866174812323,0.11651598659111152,46.33,1.49,8.8,0.19,0.17,12.31,0.18,23.9,7.36,0.09,0.0,0.0,100.82000000000001,,,41.3,0.01,0.09,0.09,0.1,7.52,0.65,50.53,0.21,0.0,0.0,0.0,100.49999999999999
44,Matzenetal2011,24,1724.15,1451,,1.17489755493953e-06,0.0819250249234021,0.0108541493809092,0.11698907068636011,47.35,1.64,9.92,0.21,0.17,12.31,0.14,20.76,8.13,0.16,0.0,0.0,100.79,,,41.28,0.01,0.1,0.11,0.1,8.64,0.61,49.93,0.23,0.0,0.0,0.0,101.01
45,Matzenetal2011,21,1725.15,1452,,1.20226443461741e-06,0.0783096195550729,0.0105456659816637,0.11868360917374653,47.1,1.67,9.96,0.19,0.16,11.8,0.15,21.04,8.18,0.29,0.0,0.0,100.54,,,41.0,0.01,0.1,0.1,0.11,8.39,0.58,49.94,0.22,0.0,0.0,0.0,100.44999999999999
46,Matzenetal2011,17,1674.15,1401,,4.16869383470336e-07,0.0824007083271521,0.0112033874580479,0.11968907304822551,48.06,1.81,10.78,0.21,0.18,12.35,0.11,18.11,8.86,0.51,0.0,0.0,100.98,,,40.94,0.02,0.1,0.12,0.12,9.62,0.59,49.12,0.25,0.0,0.0,0.0,100.88
47,Matzenetal2011,27,1671.15,1398,,4.07380277804113e-07,0.0810217515840049,0.0108983868626571,0.11856364717053867,47.87,1.8,10.64,0.23,0.16,12.01,0.13,18.41,8.81,0.08,0.0,0.0,100.13999999999999,,,40.76,0.02,0.09,0.12,0.12,9.74,0.65,48.49,0.23,0.0,0.0,0.0,100.22000000000001
48,Matzenetal2011,28,1623.15,1350,,1.02329299228075e-06,0.0801077641892506,0.0159757378617326,0.1662693128447343,48.4,1.95,11.47,0.18,0.17,12.45,0.11,15.95,9.63,0.05,0.0,0.0,100.36,,,40.48,0.02,0.15,0.11,0.13,10.73,0.8,47.7,0.26,0.0,0.0,0.0,100.38000000000001
49,Matzenetal2011,15,1622.15,1349,,1.34896288259165e-07,0.0820753344359567,0.0114105108659696,0.12205602708214998,48.78,1.97,11.89,0.19,0.16,12.23,0.09,15.4,9.73,0.6,0.0,0.0,101.04,,,40.82,0.01,0.09,0.12,0.14,10.87,0.6,48.27,0.25,0.0,0.0,0.0,101.17
50,Matzenetal2011,6,1575.15,1302,,4.36515832240166e-08,0.0736451279348192,0.0103885163452076,0.12362329914658662,49.84,2.18,13.15,0.15,0.16,10.86,0.09,13.2,10.58,0.35,0.0,0.0,100.56,,,40.33,0.03,0.09,0.11,0.15,11.51,0.53,47.38,0.27,0.0,0.0,0.0,100.39999999999999
51,Matzenetal2011,8,1575.15,1302,,3.8904514499428e-08,0.0790594967505106,0.010951139680984,0.12166495111184672,49.18,2.21,12.74,0.16,0.16,11.65,0.08,13.37,10.69,0.48,0.0,0.0,100.72,,,40.26,0.03,0.08,0.1,0.15,12.17,0.55,46.87,0.27,0.0,0.0,0.0,100.47999999999999
52,Matzenetal2011,46,1573.15,1300,,4.36515832240166e-08,0.0811865666853474,0.0112084291924747,0.12130991604021597,49.18,2.16,12.8,0.16,0.17,11.99,0.07,14.01,10.51,0.07,0.0,0.0,101.11999999999999,,,40.69,0.03,0.07,0.12,0.14,12.03,0.55,46.9,0.26,0.0,0.0,0.0,100.79
53,Montierthetal.1995,TLW-18,1583.15,1310,,4.10122404568531e-07,0.0721241680984561,0.0160053449336953,0.18161163477501832,50.0,1.77,11.8,0.0,0.17,11.4,0.0,13.1,9.1,1.74,0.34,0.21,99.63,,,40.1,0.04,0.0,0.0,0.15,11.8,0.34,48.0,0.25,0.0,0.0,0.0,100.68
54,Montierthetal.1995,TLW-17,1573.15,1300,,3.25697493996499e-07,0.0711992015248961,0.0158395799548638,0.18198301591052435,50.2,1.92,12.0,0.0,0.17,11.2,0.0,12.5,9.3,1.6,0.35,0.2,99.44,,,39.9,0.02,0.0,0.0,0.14,12.2,0.33,47.3,0.25,0.0,0.0,0.0,100.14
55,Montierthetal.1995,TLW-4,1533.15,1260,,1.2570719651796e-07,0.0678629667073556,0.015713193304288,0.18801047215017874,51.2,1.94,12.9,0.0,0.13,10.8,0.0,10.9,9.8,1.88,0.38,0.22,100.14999999999999,,,40.0,0.12,0.0,0.0,0.17,13.3,0.23,46.3,0.37,0.0,0.0,0.0,100.49000000000001
56,Montierthetal.1995,TLW-6,1513.15,1240,,7.66365207816201e-08,0.0662848200916317,0.0155159526115392,0.1896797805057622,51.0,2.05,13.1,0.0,0.2,10.4,0.0,9.9,9.9,1.81,0.36,0.17,98.89000000000001,,,39.6,0.05,0.0,0.0,0.18,13.8,0.21,45.5,0.33,0.0,0.0,0.0,99.67
57,Montierthetal.1995,TLW-7,1503.15,1230,,5.95427459148311e-08,0.0589836340224461,0.0139004726107263,0.19072021669535907,52.6,1.89,13.6,0.0,0.16,9.3,0.0,9.6,10.4,1.43,0.31,0.15,99.44000000000001,,,40.1,0.01,0.0,0.0,0.21,13.6,0.24,46.9,0.26,0.0,0.0,0.0,101.32000000000001
58,Montierthetal.1995,TLW-8,1493.15,1220,,4.6105613893285e-08,0.0635829339243984,0.015318809341533,0.19415045482458226,51.6,2.02,13.4,0.0,0.17,10.0,0.0,8.9,10.4,1.81,0.38,0.2,98.88000000000002,,,39.6,0.03,0.0,0.0,0.18,14.4,0.27,45.5,0.28,0.0,0.0,0.0,100.26
59,Montierthetal.1995,TLW-9,1483.15,1210,,3.55779509471059e-08,0.0626361716901604,0.0154537277270066,0.197896627378794,51.6,2.17,13.4,0.0,0.14,9.9,0.0,8.5,10.4,2.09,0.41,0.25,98.86000000000001,,,39.2,0.05,0.0,0.0,0.2,15.3,0.24,44.2,0.24,0.0,0.0,0.0,99.42999999999999
60,Montierthetal.1995,TLW-11,1473.15,1200,,2.73577090811409e-08,0.0620271711374136,0.0154793589646379,0.19971683604280177,51.9,2.16,13.7,0.0,0.2,9.9,0.0,8.3,10.5,2.21,0.45,0.26,99.58000000000001,,,39.5,0.05,0.0,0.0,0.18,15.4,0.24,44.3,0.32,0.0,0.0,0.0,99.98999999999998
61,Montierthetal.1995,TLW-12,1463.15,1190,,2.09613310499792e-08,0.0641518517069883,0.0161308603311083,0.20092570270239146,51.6,2.01,14.0,0.0,0.18,10.2,0.0,7.6,10.5,2.38,0.46,0.21,99.13999999999999,,,39.3,0.07,0.0,0.0,0.2,16.8,0.3,43.1,0.33,0.0,0.0,0.0,100.10000000000001
62,Montierthetal.1995,TLW-13,1453.15,1180,,1.60016999265522e-08,0.0656275668500519,0.0165371322909576,0.20126809279222074,51.6,2.39,13.9,0.0,0.22,10.4,0.0,7.1,10.5,2.36,0.46,0.23,99.16,,,39.2,0.08,0.0,0.0,0.2,16.4,0.32,43.7,0.33,0.0,0.0,0.0,100.23
63,Montierthetal.1995,TLW-14,1443.15,1170,,1.21699398575012e-08,0.065844221612191,0.0166864853030686,0.2021851735766889,52.2,2.39,13.9,0.0,0.19,10.4,0.0,6.4,10.5,2.34,0.49,0.23,99.04000000000002,,,38.7,0.0,0.0,0.0,0.2,18.2,0.29,41.7,0.39,0.0,0.0,0.0,99.48
64,Montierthetal.1995,TLW-16,1433.15,1160,,9.22044265153747e-09,0.0596006110110176,0.0154024450014975,0.20535756568275607,52.9,2.14,14.0,0.0,0.17,9.5,0.0,6.8,10.6,2.32,0.49,0.25,99.16999999999997,,,39.2,0.0,0.0,0.0,0.24,17.0,0.24,43.4,0.35,0.0,0.0,0.0,100.43
65,Blundyetal.2020,D-13,1556.15,1283,,4.78630092322638e-10,0.0704590246257402,0.00500144267388148,0.06627897828968989,47.47,0.94,12.95,0.14,0.14,9.56,0.0,13.18,13.4,0.06,0.01,0.18,98.03000000000002,,,40.12,0.0,0.07,0.11,0.1,10.58,0.13,48.35,0.33,0.0,0.0,0.0,99.79
